symbol,value
’,0
†,1
•,2
š,3
‘,4
‘,5
™,6
”,7
“,8
Š,9
†,10
Š,11
Œ,12
Š,13
‘,14
Ÿ,15
€,16
™,17
‡,18
“,19
Š,20
‡,21
Ÿ,22
œ,23
†,24
š,25
…,26
“,27
˜,28
ž,29
š,30
›,31
Ÿ,32
ž,33
™,34
ˆ,35
‰,36
‘,37
›,38
‹,39
Š,40
Š,41
‘,42
“,43
ˆ,44
„,45
ž,46
˜,47
ˆ,48
‰,49
™,50
‡,51
†,52
‚,53
‚,54
Ÿ,55
„,56
–,57
Š,58
…,59
Ÿ,60
‹,61
š,62
Ž,63
”,64
„,65
ˆ,66
‘,67
—,68
‹,69
‡,70
“,71
˜,72
•,73
…,74
ž,75
•,76
‚,77
–,78
‹,79
‹,80
…,81
ž,82
Œ,83
’,84
›,85
’,86
€,87
—,88
ˆ,89
…,90
™,91
Š,92
—,93
˜,94
˜,95
š,96
‹,97
Ÿ,98
•,99
ƒ,100
‡,101
€,102
™,103
–,104
Š,105
‘,106
’,107
•,108
–,109
–,110
‡,111
€,112
‹,113
š,114
†,115
™,116
…,117
”,118
‡,119
•,120
„,121
Œ,122
„,123
•,124
‚,125
š,126
‡,127
•,128
€,129
Œ,130
ž,131
„,132
“,133
†,134
Ž,135
•,136
‚,137
˜,138
‡,139
„,140
“,141
•,142
ˆ,143
‹,144
–,145
†,146
‚,147
–,148
‡,149
‰,150
‡,151
‰,152
ƒ,153
Ž,154
“,155
†,156
‚,157
Œ,158
Š,159
œ,160
š,161
€,162
Œ,163
–,164
•,165
š,166
…,167
ƒ,168
˜,169
…,170
œ,171
†,172
€,173
†,174
‡,175
•,176
›,177
‘,178
…,179
‘,180
Ž,181
‰,182
›,183
Š,184
›,185
‘,186
“,187
™,188
“,189
Œ,190
’,191
”,192
Œ,193
‰,194
‚,195
‰,196
›,197
ž,198
•,199
˜,200
š,201
€,202
’,203
†,204
…,205
›,206
…,207
‹,208
‡,209
Œ,210
Œ,211
™,212
‹,213
ž,214
”,215
š,216
‡,217
ˆ,218
ž,219
”,220
Ÿ,221
›,222
˜,223
Œ,224
Œ,225
•,226
‡,227
ƒ,228
“,229
–,230
‚,231
›,232
‰,233
‹,234
Ž,235
„,236
Š,237
ž,238
–,239
™,240
ž,241
›,242
†,243
›,244
†,245
˜,246
›,247
”,248
œ,249
™,250
Œ,251
–,252
š,253
™,254
Ž,255
†,256
”,257
‰,258
œ,259
‹,260
†,261
Ÿ,262
Ž,263
•,264
Š,265
˜,266
…,267
ž,268
”,269
Ÿ,270
—,271
€,272
‘,273
œ,274
‹,275
Ž,276
†,277
˜,278
‰,279
…,280
†,281
ž,282
Ÿ,283
“,284
†,285
„,286
€,287
ƒ,288
›,289
œ,290
›,291
—,292
Š,293
†,294
–,295
ˆ,296
Œ,297
‹,298
ˆ,299
ž,300
„,301
Š,302
’,303
’,304
Š,305
‡,306
›,307
‚,308
…,309
Š,310
ƒ,311
Š,312
š,313
„,314
†,315
“,316
œ,317
“,318
‚,319
ž,320
š,321
’,322
™,323
…,324
ƒ,325
Ÿ,326
‹,327
™,328
’,329
™,330
›,331
†,332
“,333
™,334
„,335
‚,336
„,337
‡,338
“,339
ž,340
€,341
œ,342
„,343
‹,344
•,345
—,346
Ÿ,347
“,348
„,349
Ž,350
Ž,351
’,352
†,353
‡,354
Œ,355
†,356
‚,357
œ,358
Œ,359
†,360
œ,361
š,362
„,363
›,364
›,365
•,366
Ÿ,367
ž,368
‹,369
‚,370
™,371
‘,372
œ,373
ˆ,374
…,375
ž,376
›,377
‘,378
€,379
–,380
Ž,381
‰,382
“,383
ˆ,384
Œ,385
ˆ,386
”,387
“,388
š,389
‚,390
ž,391
›,392
ˆ,393
™,394
Ÿ,395
š,396
’,397
ž,398
Š,399
ž,400
˜,401
‹,402
Œ,403
•,404
š,405
“,406
‚,407
“,408
Ž,409
ˆ,410
•,411
Š,412
”,413
€,414
ƒ,415
‰,416
œ,417
€,418
™,419
”,420
„,421
‰,422
”,423
’,424
—,425
‘,426
Œ,427
‘,428
š,429
€,430
—,431
˜,432
œ,433
†,434
›,435
Ÿ,436
–,437
œ,438
š,439
“,440
‰,441
’,442
ˆ,443
Ž,444
Ž,445
”,446
”,447
Š,448
€,449
”,450
€,451
€,452
“,453
Œ,454
ˆ,455
ƒ,456
’,457
‘,458
’,459
—,460
ˆ,461
œ,462
”,463
Ž,464
†,465
Š,466
œ,467
€,468
ž,469
„,470
ˆ,471
Š,472
‚,473
œ,474
Š,475
ž,476
–,477
›,478
˜,479
“,480
’,481
‹,482
œ,483
‡,484
ž,485
‰,486
€,487
‘,488
…,489
•,490
Ÿ,491
˜,492
›,493
‘,494
…,495
˜,496
ˆ,497
˜,498
ƒ,499
